id,text,ms,source,flag
w:met,"met",1008,byte-pinned,
w:yet,"yet",960,byte-pinned,
w:bet,"bet",984,byte-pinned,
w:keg,"keg",816,byte-pinned,
w:hem,"hem",840,byte-pinned,
w:nun,"nun",936,byte-pinned,
w:pun,"pun",1080,byte-pinned,
w:jut,"jut",864,byte-pinned,
w:gut,"gut",864,byte-pinned,
w:hub,"hub",864,byte-pinned,
w:yes,"yes",1056,byte-pinned,
w:zip,"zip",1056,byte-pinned,
w:gum,"gum",960,byte-pinned,
w:gas,"gas",1104,byte-pinned,
w:kid,"kid",936,byte-pinned,
w:cub,"cub",840,byte-pinned,
w:den,"den",960,byte-pinned,
w:dot,"dot",1008,byte-pinned,
w:fed,"fed",984,byte-pinned,
w:fig,"fig",1008,byte-pinned,
w:fog,"fog",984,byte-pinned,
w:gap,"gap",960,byte-pinned,
w:hid,"hid",840,byte-pinned,
w:hut,"hut",840,byte-pinned,
w:jog,"jog",1080,byte-pinned,
w:kit,"kit",840,byte-pinned,
w:lid,"lid",984,byte-pinned,
w:mix,"mix",1056,byte-pinned,
w:wax,"wax",1128,byte-pinned,
w:yak,"yak",1008,byte-pinned,
w:jig,"jig",1080,byte-pinned,
w:jab,"jab",1104,byte-pinned,
w:jot,"jot",1152,byte-pinned,
w:lab,"lab",1056,byte-pinned,
w:lad,"lad",1008,byte-pinned,
w:led,"led",1032,byte-pinned,
w:lit,"lit",912,byte-pinned,
w:lug,"lug",912,byte-pinned,
w:nab,"nab",1032,byte-pinned,
w:pep,"pep",888,byte-pinned,
w:pod,"pod",1056,byte-pinned,
w:rib,"rib",1008,byte-pinned,
w:rim,"rim",912,byte-pinned,
w:rod,"rod",1032,byte-pinned,
w:rot,"rot",936,byte-pinned,
w:sag,"sag",1032,byte-pinned,
w:sub,"sub",888,byte-pinned,
w:sum,"sum",1008,byte-pinned,
w:tab,"tab",1128,byte-pinned,
w:tot,"tot",1008,byte-pinned,
w:wed,"wed",912,byte-pinned,
w:wit,"wit",816,byte-pinned,
w:zig,"zig",1056,byte-pinned,
w:zag,"zag",1080,byte-pinned,
w:fax,"fax",1032,byte-pinned,
w:nix,"nix",1488,byte-pinned,
w:vex,"vex",1128,byte-pinned,
w:sax,"sax",1152,byte-pinned,
w:cod,"cod",1008,byte-pinned,
w:gob,"gob",936,byte-pinned,
w:ship,"ship",960,byte-pinned,
w:shop,"shop",1056,byte-pinned,
w:shut,"shut",840,byte-pinned,
w:fish,"fish",888,byte-pinned,
w:dish,"dish",864,byte-pinned,
w:wish,"wish",1032,byte-pinned,
w:cash,"cash",1176,byte-pinned,
w:chat,"chat",1128,byte-pinned,
w:chip,"chip",1104,byte-pinned,
w:chop,"chop",1152,byte-pinned,
w:rich,"rich",1368,byte-pinned,
w:much,"much",888,byte-pinned,
w:such,"such",888,byte-pinned,
w:chin,"chin",1128,byte-pinned,
w:shed,"shed",912,byte-pinned,
w:shin,"shin",984,byte-pinned,
w:mash,"mash",1104,byte-pinned,
w:rash,"rash",1032,byte-pinned,
w:chug,"chug",1152,byte-pinned,
w:chum,"chum",792,byte-pinned,
w:dash,"dash",1152,byte-pinned,
w:sash,"sash",1056,byte-pinned,
w:hush,"hush",1008,byte-pinned,
w:rush,"rush",960,byte-pinned,
w:mush,"mush",1080,byte-pinned,
w:chap,"chap",1152,byte-pinned,
w:wash,"wash",1056,byte-pinned,
w:push,"push",840,byte-pinned,
w:bush,"bush",1080,byte-pinned,
w:she,"she",1080,byte-pinned,
w:bash,"bash",1128,byte-pinned,
w:gash,"gash",1008,byte-pinned,
w:gush,"gush",912,byte-pinned,
w:lash,"lash",1176,byte-pinned,
w:lush,"lush",960,byte-pinned,
w:posh,"posh",1176,byte-pinned,
w:sham,"sham",1032,byte-pinned,
w:shun,"shun",936,byte-pinned,
w:thin,"thin",888,byte-pinned,
w:this,"this",1032,byte-pinned,
w:that,"that",792,byte-pinned,
w:then,"then",960,byte-pinned,
w:them,"them",816,byte-pinned,
w:bath,"bath",960,byte-pinned,
w:math,"math",1056,byte-pinned,
w:with,"with",912,byte-pinned,
w:when,"when",888,byte-pinned,
w:whip,"whip",960,byte-pinned,
w:duck,"duck",1104,byte-pinned,
w:sock,"sock",960,byte-pinned,
w:kick,"kick",864,byte-pinned,
w:back,"back",1008,byte-pinned,
w:ring,"ring",1008,byte-pinned,
w:sing,"sing",984,byte-pinned,
w:king,"king",1056,byte-pinned,
w:long,"long",960,byte-pinned,
w:song,"song",1104,byte-pinned,
w:was,"was",1008,byte-pinned,
w:buck,"buck",936,byte-pinned,
w:sung,"sung",888,byte-pinned,
w:gong,"gong",1104,byte-pinned,
w:lung,"lung",1008,byte-pinned,
w:puck,"puck",888,byte-pinned,
w:wick,"wick",888,byte-pinned,
w:rung,"rung",1056,byte-pinned,
w:muck,"muck",1032,byte-pinned,
w:pack,"pack",1008,byte-pinned,
w:path,"path",936,byte-pinned,
w:sack,"sack",1008,byte-pinned,
w:tack,"tack",888,byte-pinned,
w:neck,"neck",960,byte-pinned,
w:luck,"luck",960,byte-pinned,
w:tuck,"tuck",864,byte-pinned,
w:peck,"peck",1056,byte-pinned,
w:deck,"deck",1080,byte-pinned,
w:thud,"thud",1032,byte-pinned,
w:rock,"rock",1056,byte-pinned,
w:lock,"lock",960,byte-pinned,
w:pick,"pick",816,byte-pinned,
w:lick,"lick",888,byte-pinned,
w:wing,"wing",1056,byte-pinned,
w:tick,"tick",1080,byte-pinned,
w:dock,"dock",1128,byte-pinned,
w:moth,"moth",1104,byte-pinned,
w:hang,"hang",936,byte-pinned,
w:sang,"sang",984,byte-pinned,
w:rang,"rang",1056,byte-pinned,
w:sick,"sick",888,byte-pinned,
w:fang,"fang",936,byte-pinned,
w:the,"the",744,byte-pinned,
w:what,"what",888,byte-pinned,
w:whim,"whim",1032,byte-pinned,
w:wham,"wham",1104,byte-pinned,
w:bang,"bang",936,byte-pinned,
w:hung,"hung",864,byte-pinned,
w:ding,"ding",1056,byte-pinned,
w:ping,"ping",888,byte-pinned,
w:bell,"bell",1008,byte-pinned,
w:tell,"tell",1080,byte-pinned,
w:well,"well",1032,byte-pinned,
w:fell,"fell",960,byte-pinned,
w:hill,"hill",840,byte-pinned,
w:mill,"mill",1056,byte-pinned,
w:doll,"doll",960,byte-pinned,
w:mess,"mess",1056,byte-pinned,
w:boss,"boss",1104,byte-pinned,
w:kiss,"kiss",1056,byte-pinned,
w:miss,"miss",840,byte-pinned,
w:loss,"loss",984,byte-pinned,
w:fuss,"fuss",936,byte-pinned,
w:huff,"huff",888,byte-pinned,
w:puff,"puff",864,byte-pinned,
w:cuff,"cuff",1104,byte-pinned,
w:buzz,"buzz",912,byte-pinned,
w:fuzz,"fuzz",888,byte-pinned,
w:jazz,"jazz",960,byte-pinned,
w:fizz,"fizz",888,byte-pinned,
w:quiz,"quiz",864,byte-pinned,
w:quit,"quit",936,byte-pinned,
w:quip,"quip",768,byte-pinned,
w:knit,"knit",840,byte-pinned,
w:knob,"knob",936,byte-pinned,
w:knot,"knot",888,byte-pinned,
w:lamb,"lamb",1032,byte-pinned,
w:chick,"chick",936,byte-pinned,
w:check,"check",912,byte-pinned,
w:chuck,"chuck",888,byte-pinned,
w:chess,"chess",960,byte-pinned,
w:chill,"chill",936,byte-pinned,
w:shack,"shack",936,byte-pinned,
w:shock,"shock",960,byte-pinned,
w:shell,"shell",1008,byte-pinned,
w:thick,"thick",816,byte-pinned,
w:whack,"whack",936,byte-pinned,
w:whiff,"whiff",936,byte-pinned,
w:whizz,"whizz",768,byte-pinned,
w:quick,"quick",792,byte-pinned,
w:quack,"quack",1008,byte-pinned,
w:quill,"quill",768,byte-pinned,
w:knock,"knock",1080,byte-pinned,
w:wreck,"wreck",912,byte-pinned,
w:wrong,"wrong",936,byte-pinned,
w:thumb,"thumb",912,byte-pinned,
w:wrap,"wrap",960,byte-pinned,
w:wren,"wren",1008,byte-pinned,
w:limb,"limb",1032,byte-pinned,
