sound,ipa,graphemes,as_in,family,source,source_word,locked,verdict,ear_notes,round,listen_context,cut_start_s,cut_end_s,guard_lead_ms,guard_tail_ms,fade_ms,gain_db,pitch_shift_semitones,formant_ratio,byte_pin_sha256,notes
sh,ʃ,sh,bash,continuous,owner_recording,sh.wav,yes,ok,owner accept sh_2 ok [S2]; family sh_start_plus40,S2 / 2026-08-05,clip,2.755,3.955,20,0,12,-3,,,f0be8510ae50f302c423c3c9921c48f5b647bacc1fe2bf490c6282979cfc1391,S2 sh_2 sh_start_plus40; blend=none; pin bake-package/sound-winners/s-sh.wav
t,t,t,rat,burst,owner_recording,T_sound.m4a,yes,accepted,"owner picked full cut, blind, played twice","round 1, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.31,0.47,20,0,12,-3,0,,,source sha256 c13552a4fa0f0d27f1420ca26558e60f2e2060daa2fbb6f82a7973357656dfb2; cut times are in the 24kHz mono decode; gain is peak target dBFS
th_thin,θ,th,math,continuous,cut,math,no,,,,,,,,,10,0,0,,,"the quiet th: bath, math, thin, thud, moth"
th_this,ð,th,this,continuous,cut,this,yes,marginal,owner accept th_this_6 marginal [S7]; family th_this_this_endtrim_300,S7 / 2026-08-05,clip,0.16,0.39,0,0,8,-3,,,dffaa65331be72cdc344e93f87afb0797f308abb6d5d3308cccb0909230a12d2,S7 th_this_6 th_this_this_endtrim_300; source=bake-package/sound-sources/this.mp3; blend=none; pin bake-package/sound-winners/s-th_this.wav
v,v,v,vex,continuous,owner_recording,v.wav,yes,ok,owner accept v_2 ok [S1]; family half_world,S1 / 2026-08-05,clip,2.275,3.685,20,0,12,-3,6.004,1.09,a4839e413d4e4b305bc3dfb51cf3013709735fccd1dc4422a3a1855d341867ea,S1 v_2 half_world; elongate=trim_to_target; blend=half; pin bake-package/sound-winners/s-v.wav; source recordings/wav24k/v.wav
w,w,w wh,web when,glide,owner_recording,W_sound.m4a,yes,accepted (three-quarter blend),"round 4: three-quarter blend accepted blind, judged in sequence","rounds 1+3+4, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.0,0.17,20,0,12,-3,8.75,1.18,,"source sha256 caf9d2e69828f45465bed8ce94e2b569003e4204dc2a1aa8e32a76f16c422679; cut times are in the 24kHz mono decode; gain is peak target dBFS; blend: pyworld 0.3.5 WORLD frame 5ms, f0 x (200/102)^0.75, envelope warp 1.18"
x,ks,x,ax,composite,assembled,k+s,yes,ok,owner accept x_2 ok [S2]; family x_ks_gap8_s+80,S2 / 2026-08-05,clip,,,20,0,12,-3,,,2448b3242559b64c97053444d54f8e67e9ee4b42e99de3e5948fd127a66dff3b,S2 x_2 x_ks_gap8_s+80; blend=none; pin bake-package/sound-winners/s-x.wav
y,j,y,yes,glide,owner_recording,Y_sound.m4a,yes,accepted (half blend),"round 1 take accepted; round 3: half blend toward af_heart chosen blind, judged in sequence","rounds 1+3, 2026-08-04","blind html player, padded 150/400ms, peak -3dBFS",0.17,0.47,20,0,12,-3,5.17,1.09,,"source sha256 4144c70cce45119131cce257f6a16c268b5d2fbc8b003f7d45fa28203dd95951; cut times are in the 24kHz mono decode; gain is peak target dBFS; blend: pyworld WORLD harvest/cheaptrick/d4c/synthesize frame 5ms, f0 x sqrt(200/measured), envelope warp 1.09"
z,z,z s,zip is,continuous,owner_recording,z.wav,yes,ok,owner accept z_1 ok [S2]; family z_early_buzz,S2 / 2026-08-05,clip,2.21,2.81,20,0,12,-3,,,38fb7a6f7c3f68e70f36d3641459846ef2a8991d070ce72d5798e79ec73b7d04,S2 z_1 z_early_buzz; blend=none; pin bake-package/sound-winners/s-z.wav
qu,kw,qu,quiz,composite,owner_recording,qu.wav,yes,marginal,owner accept qu_2 marginal [S4]; family qu_owner_120,S4 / 2026-08-05,clip,0.12,0.57,20,0,12,-3,,,256f719957e3cbf74acd16951c3fe6d2393259381f1928454abd5a46d54f25d1,S4 qu_2 qu_owner_120; blend=none; pin bake-package/sound-winners/s-qu.wav; retake3
